"Name","Jurisdiction","14 Day Total Cases","14 Day Rate / 100k","Level","Data Note"
"KANE","Southwest Utah","41","518.1","Very High Rate (>200)","Stable"
"MILLARD","Central Utah","95","712.8","Very High Rate (>200)","Stable"
"SANPETE","Central Utah","206","656.2","Very High Rate (>200)","Stable"
"CARBON","Southeast Utah","141","679.2","Very High Rate (>200)","Stable"
"UTAH","Utah County","8193","1258.4","Very High Rate (>200)","Stable"
"CACHE","Bear River","1763","1356.1","Very High Rate (>200)","Stable"
"SUMMIT","Summit County","1932","4546","Very High Rate (>200)","Stable"
"WASHINGTON","Southwest Utah","1907","1031.3","Very High Rate (>200)","Stable"
"GRAND","Southeast Utah","131","1337.3","Very High Rate (>200)","Stable"
"UINTAH","TriCounty","155","430.9","Very High Rate (>200)","Stable"
"TOOELE","Tooele County","806","1081.7","Very High Rate (>200)","Stable"
"SEVIER","Central Utah","162","743.8","Very High Rate (>200)","Stable"
"GARFIELD","Southwest Utah","20","396","Very High Rate (>200)","Stable"
"BOX ELDER","Bear River","390","684.1","Very High Rate (>200)","Stable"
"IRON","Southwest Utah","598","1052.6","Very High Rate (>200)","Stable"
"WEBER","Weber-Morgan","3084","1174.2","Very High Rate (>200)","Stable"
"EMERY","Southeast Utah","72","709.6","Very High Rate (>200)","Stable"
"RICH","Bear River","14","571","Very High Rate (>200)","Stable"
"WASATCH","Wasatch County","833","2359.8","Very High Rate (>200)","Stable"
"BEAVER","Southwest Utah","63","931.8","Very High Rate (>200)","Stable"
"DAGGETT","TriCounty","7","682.3","Very High Rate (>200)","Unstable, interpret with caution"
"DAVIS","Davis County","5452","1517.7","Very High Rate (>200)","Stable"
"WAYNE","Central Utah","15","543.7","Very High Rate (>200)","Stable"
"PIUTE","Central Utah","5","Low case counts, rate not available","1-5 Cases","Unstable, interpret with caution"
"MORGAN","Weber-Morgan","102","818.5","Very High Rate (>200)","Stable"
"SALT LAKE","Salt Lake County","21868","1876.2","Very High Rate (>200)","Stable"
"DUCHESNE","TriCounty","105","527.8","Very High Rate (>200)","Stable"
"JUAB","Central Utah","70","577.5","Very High Rate (>200)","Stable"
"SAN JUAN","San Juan","112","733.1","Very High Rate (>200)","Stable"
