"Hospitalization","age","Case Count","percent"
"Yes","0-1 years",171,"5.8%"
"Yes","1-14 years",615,"0.7%"
"Yes","15-24 years",1839,"1.4%"
"Yes","25-44 years",6692,"2.9%"
"Yes","45-64 years",8615,"6.4%"
"Yes","65-84 years",8080,"17.7%"
"Yes","85+ years",1500,"28.6%"
"No","0-1 years",2247,"76.2%"
"No","1-14 years",65814,"79.1%"
"No","15-24 years",105381,"77.6%"
"No","25-44 years",176683,"77.2%"
"No","45-64 years",102537,"75.7%"
"No","65-84 years",30296,"66.5%"
"No","85+ years",2994,"57%"
"Under Investigation","0-1 years",530,"18%"
"Under Investigation","1-14 years",16770,"20.2%"
"Under Investigation","15-24 years",28583,"21%"
"Under Investigation","25-44 years",45360,"19.8%"
"Under Investigation","45-64 years",24299,"17.9%"
"Under Investigation","65-84 years",7195,"15.8%"
"Under Investigation","85+ years",757,"14.4%"
